area,population,sex,income,age
Yau Tsim Mong - Tai Kok Tsui South,Female,8480,11000,47.2
Yau Tsim Mong - Tai Kok Tsui South,Sub-Total,15790,13500,47.4
Yau Tsim Mong - Tai Kok Tsui North,Male,9063,20000,41.7
Yau Tsim Mong - Tai Kok Tsui North,Female,11389,13000,40.6
Yau Tsim Mong - Tai Kok Tsui North,Sub-Total,20452,16500,41.1
Yau Tsim Mong - Tai Nan,Male,10780,13500,40.8
Yau Tsim Mong - Tai Nan,Female,12020,10750,39.7
Yau Tsim Mong - Tai Nan,Sub-Total,22800,12500,40.2
Yau Tsim Mong - Mong Kok North,Male,9010,14400,47.5
Yau Tsim Mong - Mong Kok North,Female,10327,11750,44.8
Yau Tsim Mong - Mong Kok North,Sub-Total,19337,13000,46.1
Yau Tsim Mong - Mong Kok East,Male,7723,15000,44.5
Yau Tsim Mong - Mong Kok East,Female,9476,12000,41.9
Yau Tsim Mong - Mong Kok East,Sub-Total,17199,13120,42.9
Yau Tsim Mong - Mong Kok South,Male,7458,14000,44.7
Yau Tsim Mong - Mong Kok South,Female,8992,11000,43.3
Yau Tsim Mong - Mong Kok South,Sub-Total,16450,12600,44.1
Yau Tsim Mong - Yau Ma Tei North,Male,5851,15000,48.2
Yau Tsim Mong - Yau Ma Tei North,Female,7379,10000,42.2
Yau Tsim Mong - Yau Ma Tei North,Sub-Total,13230,12750,45.5
Yau Tsim Mong - East Tsim Sha Tsui and King's Park,Male,7229,60000,44.6
Yau Tsim Mong - East Tsim Sha Tsui and King's Park,Female,8851,13500,37
Yau Tsim Mong - East Tsim Sha Tsui and King's Park,Sub-Total,16080,26250,40.7
Yau Tsim Mong - Tsim Sha Tsui Central,Male,7492,20000,44.1
Yau Tsim Mong - Tsim Sha Tsui Central,Female,9447,11000,45.5
Yau Tsim Mong - Tsim Sha Tsui Central,Sub-Total,16939,15000,44.8
Yau Tsim Mong - Jordan North,Male,9226,12000,37.9
Yau Tsim Mong - Jordan North,Female,9324,10000,38.9
Yau Tsim Mong - Jordan North,Sub-Total,18550,10920,38.4
Sham Shui Po - Po Lai,Male,8734,15500,41.5
Sham Shui Po - Po Lai,Female,10595,13000,41.1
Sham Shui Po - Po Lai,Sub-Total,19329,14500,41.2
Sham Shui Po - Cheung Sha Wan,Male,7409,17500,43
Sham Shui Po - Cheung Sha Wan,Female,8444,14500,41.5
Sham Shui Po - Cheung Sha Wan,Sub-Total,15853,15000,42.1
Sham Shui Po - Nam Cheong North,Male,10539,14000,41.5
Sham Shui Po - Nam Cheong North,Female,12830,10000,40.6
Sham Shui Po - Nam Cheong North,Sub-Total,23369,12000,40.9
Sham Shui Po - Shek Kip Mei,Male,9860,13000,46.7
Sham Shui Po - Shek Kip Mei,Female,11233,10100,45.6
Sham Shui Po - Shek Kip Mei,Sub-Total,21093,12000,46.1
Sham Shui Po - Nam Cheong East,Male,10723,15000,39.4
Sham Shui Po - Nam Cheong East,Female,10711,11000,41.8
Sham Shui Po - Nam Cheong East,Sub-Total,21434,12960,40.8
Sham Shui Po - Nam Cheong South,Male,10999,14000,39.6
Sham Shui Po - Nam Cheong South,Female,11781,10250,39.5
Sham Shui Po - Nam Cheong South,Sub-Total,22780,12000,39.6
Sham Shui Po - Nam Cheong Central,Male,10561,13000,37
Sham Shui Po - Nam Cheong Central,Female,10943,9750,38.4
Sham Shui Po - Nam Cheong Central,Sub-Total,21504,11160,37.9
Sham Shui Po - Nam Cheong West,Male,9881,15000,44
Sham Shui Po - Nam Cheong West,Female,9422,10750,42.4
Sham Shui Po - Nam Cheong West,Sub-Total,19303,13000,43.1
Sham Shui Po - Fu Cheong,Male,8774,13000,45.5
Sham Shui Po - Fu Cheong,Female,10039,10250,46.2
Sham Shui Po - Fu Cheong,Sub-Total,18813,11600,46.2
Sham Shui Po - Lai Kok,Male,5949,14300,51.5
Sham Shui Po - Lai Kok,Female,7448,11000,52.6
Sham Shui Po - Lai Kok,Sub-Total,13397,12600,52.1
Sham Shui Po - Fortune,Male,7304,20000,44.7
Sham Shui Po - Fortune,Female,9056,11000,40.7
Sham Shui Po - Fortune,Sub-Total,16360,15000,41.9
Sham Shui Po - Lai Chi Kok South,Male,8219,13700,36.4
Sham Shui Po - Lai Chi Kok South,Female,8962,11750,41
Sham Shui Po - Lai Chi Kok South,Sub-Total,17181,12250,38.6
Sham Shui Po - Mei Foo South,Male,7557,35000,41.8
Sham Shui Po - Mei Foo South,Female,10160,14000,41.2
Sham Shui Po - Mei Foo South,Sub-Total,17717,23300,41.5
Sham Shui Po - Mei Foo Central,Male,5556,30000,45.3
Sham Shui Po - Mei Foo Central,Female,7653,15000,41.9
Sham Shui Po - Mei Foo Central,Sub-Total,13209,20000,43.3
Sham Shui Po - Mei Foo North,Male,7369,26580,42.5
Sham Shui Po - Mei Foo North,Female,8629,15500,42.2
Sham Shui Po - Mei Foo North,Sub-Total,15998,20000,42.3
Sham Shui Po - Lai Chi Kok Central,Male,8887,36250,39.8
Sham Shui Po - Lai Chi Kok Central,Female,10894,23750,37.7
Sham Shui Po - Lai Chi Kok Central,Sub-Total,19781,30000,38.6
Sham Shui Po - Lai Chi Kok North,Male,6956,14500,44.6
Sham Shui Po - Lai Chi Kok North,Female,8089,12600,42.5
Sham Shui Po - Lai Chi Kok North,Sub-Total,15045,13500,43.2
Sham Shui Po - Un Chau and So Uk,Male,8884,13500,48.5
Sham Shui Po - Un Chau and So Uk,Female,9839,11400,48.7
Sham Shui Po - Un Chau and So Uk,Sub-Total,18723,12250,48.6
Sham Shui Po - Lei Cheng Uk,Male,5405,13400,52
Sham Shui Po - Lei Cheng Uk,Female,6941,11000,50.5
Sham Shui Po - Lei Cheng Uk,Sub-Total,12346,12250,51.4
Sham Shui Po - Ha Pak Tin,Male,7955,13000,43.5
Sham Shui Po - Ha Pak Tin,Female,8693,10500,46.2
Sham Shui Po - Ha Pak Tin,Sub-Total,16648,12000,45.3
Sham Shui Po - Yau Yat Tsuen,Male,6454,45000,43.1
Sham Shui Po - Yau Yat Tsuen,Female,8598,12000,41.4
Sham Shui Po - Yau Yat Tsuen,Sub-Total,15052,26000,41.7
"Sham Shui Po - Nam Shan, Tai Hang Tung and Tai Hang Sai",Male,6938,15000,50.5
"Sham Shui Po - Nam Shan, Tai Hang Tung and Tai Hang Sai",Female,7798,11750,50
"Sham Shui Po - Nam Shan, Tai Hang Tung and Tai Hang Sai",Sub-Total,14736,13000,50.3
Sham Shui Po - Lung Ping and Sheung Pak Tin,Male,7355,15380,45
Sham Shui Po - Lung Ping and Sheung Pak Tin,Female,8843,10000,44
Sham Shui Po - Lung Ping and Sheung Pak Tin,Sub-Total,16198,13000,44.4
Kowloon City - Ma Tau Wai,Male,8228,17500,45
Kowloon City - Ma Tau Wai,Female,11796,11250,47.9
Kowloon City - Ma Tau Wai,Sub-Total,20024,14040,47
Kowloon City - Ma Hang Chung,Male,10094,20000,40.2
Kowloon City - Ma Hang Chung,Female,10399,13500,42.7
Kowloon City - Ma Hang Chung,Sub-Total,20493,16000,41.8
Kowloon City - Ma Tau Kok,Male,7388,15750,47.2
Kowloon City - Ma Tau Kok,Female,8101,10750,47.1
Kowloon City - Ma Tau Kok,Sub-Total,15489,15000,47.2
Kowloon City - Lok Man,Male,7087,17000,48
Kowloon City - Lok Man,Female,8794,11000,46.6
Kowloon City - Lok Man,Sub-Total,15881,15000,47.2
Kowloon City - Sheung Lok,Male,6868,14500,51
Kowloon City - Sheung Lok,Female,8443,11400,51
Kowloon City - Sheung Lok,Sub-Total,15311,13000,51
Kowloon City - Ho Man Tin,Male,8186,40000,48.4
Kowloon City - Ho Man Tin,Female,12405,8500,44.1
Kowloon City - Ho Man Tin,Sub-Total,20591,20000,45.5
Kowloon City - Kadoorie,Male,7973,30000,45.5
Kowloon City - Kadoorie,Female,10687,11000,45.8
Kowloon City - Kadoorie,Sub-Total,18660,20000,45.7
Kowloon City - Prince,Male,6304,33000,40.2
Kowloon City - Prince,Female,9764,5000,43.2
Kowloon City - Prince,Sub-Total,16068,18000,42.1
Kowloon City - Kowloon Tong,Male,8357,48000,42.1
